"CZ0000701578","SD K11 4,85/18    ","CEKSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701586","SD K12 4,85/19    ","CELSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701610","SD K15 4,85/22    ","CEOSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701628","SD K16 4,85/23    ","CEPSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0000701636","SD K17 4,85/24    ","CEQSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0001000749","ST.DLUHOP. 6,95/16","BOLSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/09/23","1","2","A"
"CZ0001000764","ST.DLUHOP. 6,55/11","BONSTDL ","2010/09/24",106.00         ,.00      ,106.00         ,106.00         ,106.00         ,1100         ,11570991.67        ,"2010/09/24","1","2","A"
"CZ0001000814","ST.DLUHOP. 3,70/13","BORSTDL ","2010/09/24",101.00         ,.00      ,101.00         ,101.00         ,101.00         ,0            ,.00                ,"2010/09/22","1","2","A"
"CZ0001000822","ST.DLUHOP. 4,60/18","BOSSTDL ","2010/09/24",99.60          ,.00      ,99.60          ,99.60          ,99.60          ,0            ,.00                ,"2010/09/22","1","2","A"
"CZ0001001143","ST.DLUHOP. 3,80/15","BOVSTDL ","2010/09/24",99.20          ,.00      ,99.20          ,99.20          ,99.20          ,0            ,.00                ,"2010/09/22","1","2","A"
"CZ0001001317","ST.DLUHOP. 3,75/20","BOXSTDL ","2010/09/24",93.00          ,.00      ,93.00          ,93.00          ,93.00          ,0            ,.00                ,"2010/09/21","1","2","A"
"CZ0001001796","ST.DLUHOP. 4,20/36","BCASTDL ","2010/09/24",99.61          ,.00      ,99.61          ,99.61          ,99.61          ,0            ,.00                ,"2010/09/23","1","2","A"
"CZ0001001887","ST.DLUHOP. 3,55/12","BCBSTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,60000        ,622315416.67       ,"2010/09/24","1","2","A"
"CZ0001001903","ST.DLUHOP. 4,00/17","BCCSTDL ","2010/09/24",99.00          ,.00      ,99.00          ,99.00          ,99.25          ,30000        ,326075000.00       ,"2010/09/24","1","2","A"
"CZ0001001945","ST.DLUHOP. 4,70/22","BCDSTDL ","2010/09/24",95.00          ,.00      ,95.00          ,95.00          ,95.00          ,0            ,.00                ,"2010/09/23","1","2","A"
"CZ0001002059","ST.DLUHOP. 4,85/57","BCESTDL ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/08/19","1","2","A"
"CZ0001002158","ST.DLUHOP. 4,10/11","BCFSTDL ","2010/09/24",101.80         ,.00      ,101.80         ,101.80         ,101.80         ,0            ,.00                ,"2010/09/22","1","2","A"
"CZ0001002331","ST.DLUHOP. VAR/16 ","BCGSTDL ","2010/09/24",94.22          ,.00      ,94.22          ,94.22          ,94.22          ,0            ,.00                ,"2010/09/23","1","2","A"
"CZ0001002471","ST.DLUHOP. 5,00/19","BCHSTDL ","2010/09/24",99.70          ,.00      ,99.70          ,99.70          ,99.70          ,85000        ,978587500.01       ,"2010/09/24","1","2","A"
"CZ0001002505","ST.DLUHOP. VAR/12 ","BCISTDL ","2010/09/24",100.24         ,.00      ,100.24         ,100.24         ,100.24         ,0            ,.00                ,"2010/09/21","1","2","A"
"CZ0001002547","ST.DLUHOP. 5,70/24","BCJSTDL ","2010/09/24",103.99         ,.00      ,103.99         ,99.04          ,103.99         ,74400        ,920157483.32       ,"2010/09/24","1","2","A"
"CZ0001002729","ST.DLUHOP. 2,80/13","BCKSTDL ","2010/09/24",99.59          ,.00      ,99.59          ,99.59          ,99.59          ,80070        ,830915901.10       ,"2010/09/24","1","2","A"
"CZ0001002737","ST.DLUHOP. 3,40/15","BCLSTDL ","2010/09/24",100.44         ,.00      ,100.44         ,100.44         ,100.44         ,76400        ,806733355.54       ,"2010/09/24","1","2","A"
"CZ0001500086","HL.M.PRAHA 6,85/11","BDAHLMPH","2010/09/24",99.60          ,.00      ,99.60          ,99.60          ,99.60          ,0            ,.00                ,"2009/11/10","1","2","A"
"CZ0001500094","HL.M.PRAHA VAR/11 ","BDBHLMPH","2010/09/24",100.05         ,.00      ,100.05         ,100.05         ,100.05         ,0            ,.00                ,"2010/09/08","1","2","A"
"CZ0001500102","LIBEREC VAR/25    ","BDAMESLI","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/08/25","1","2","C"
"CZ0002000300","HZL ČMHB 4,40/10  ","BDLREGI ","2010/09/24",103.15         ,.00      ,103.15         ,103.15         ,103.15         ,0            ,.00                ,"2010/02/23","1","2","C"
"CZ0002000557","HZL EBANKA 4,50/10","BDAZEBA ","2010/09/24",104.07         ,.00      ,104.07         ,104.07         ,104.07         ,0            ,.00                ,"1900/01/01","1","2","C"
